0: 1538323200	a[0]=0.022888	b[0]=0.693406	a[1]=0.011473	b[1]=0.819125
0: 1538409600	a[0]=0.008093	b[0]=0.877525	a[1]=-0.000860	b[1]=0.978189
0: 1538496000	a[0]=0.006503	b[0]=0.888521	a[1]=0.010426	b[1]=0.854643
0: 1538582400	a[0]=-0.000369	b[0]=0.988747	a[1]=-0.000977	b[1]=0.998592
0: 1538668800	a[0]=-0.002389	b[0]=1.010281	a[1]=-0.002234	b[1]=1.013278
0: 1538755200	a[0]=-0.004404	b[0]=1.029188	a[1]=0.002252	b[1]=0.959955
1: 1538323200	a[0]=0.037182	b[0]=0.507038	a[1]=0.026874	b[1]=0.619408
1: 1538409600	a[0]=0.009667	b[0]=0.855699	a[1]=0.001677	b[1]=0.944968
1: 1538496000	a[0]=0.008259	b[0]=0.870104	a[1]=0.009321	b[1]=0.865947
1: 1538582400	a[0]=0.001419	b[0]=0.965521	a[1]=0.001404	b[1]=0.969194
1: 1538668800	a[0]=0.001085	b[0]=0.972964	a[1]=-0.002408	b[1]=1.013554
2: 1538323200	a[0]=0.035315	b[0]=0.543896	a[1]=0.022457	b[1]=0.684413
1: 1538755200	a[0]=-0.003912	b[0]=1.023089	a[1]=0.003038	b[1]=0.950371
2: 1538409600	a[0]=0.009568	b[0]=0.864104	a[1]=-0.000017	b[1]=0.969786
2: 1538496000	a[0]=0.002394	b[0]=0.938133	a[1]=0.007762	b[1]=0.885674
2: 1538582400	a[0]=-0.000483	b[0]=0.989137	a[1]=-0.000090	b[1]=0.986096
2: 1538668800	a[0]=-0.002490	b[0]=1.009994	a[1]=-0.003384	b[1]=1.023136
3: 1538323200	a[0]=0.024380	b[0]=0.638025	a[1]=0.033803	b[1]=0.532986
2: 1538755200	a[0]=-0.005174	b[0]=1.031515	a[1]=0.003351	b[1]=0.943904
4: 1538323200	a[0]=0.040623	b[0]=0.483949	a[1]=0.016230	b[1]=0.750880
3: 1538409600	a[0]=0.006455	b[0]=0.893019	a[1]=-0.007781	b[1]=1.051500
4: 1538409600	a[0]=0.017252	b[0]=0.773581	a[1]=-0.002242	b[1]=0.985972
3: 1538496000	a[0]=-0.005151	b[0]=0.999469	a[1]=0.013965	b[1]=0.801482
4: 1538496000	a[0]=0.009988	b[0]=0.837041	a[1]=0.013781	b[1]=0.810193
3: 1538582400	a[0]=0.001927	b[0]=0.955578	a[1]=0.002128	b[1]=0.953699
3: 1538668800	a[0]=0.003131	b[0]=0.944801	a[1]=-0.006253	b[1]=1.049796
4: 1538582400	a[0]=0.000362	b[0]=0.979188	a[1]=-0.000816	b[1]=0.993722
3: 1538755200	a[0]=-0.005387	b[0]=1.024250	a[1]=0.007523	b[1]=0.889719
4: 1538668800	a[0]=-0.001376	b[0]=0.996834	a[1]=-0.003353	b[1]=1.021471
4: 1538755200	a[0]=-0.004745	b[0]=1.026500	a[1]=0.004297	b[1]=0.932639
7: 1538323200	a[0]=0.060798	b[0]=0.254731	a[1]=0.019847	b[1]=0.703702
6: 1538323200	a[0]=0.029299	b[0]=0.617737	a[1]=0.022014	b[1]=0.693740
5: 1538323200	a[0]=0.026336	b[0]=0.656321	a[1]=0.016838	b[1]=0.765359
7: 1538409600	a[0]=0.012481	b[0]=0.819463	a[1]=-0.005219	b[1]=1.018648
6: 1538409600	a[0]=0.005722	b[0]=0.912918	a[1]=-0.008242	b[1]=1.066606
7: 1538496000	a[0]=-0.000113	b[0]=0.940453	a[1]=0.017463	b[1]=0.762264
5: 1538409600	a[0]=0.007167	b[0]=0.898965	a[1]=0.000255	b[1]=0.976429
6: 1538496000	a[0]=0.004558	b[0]=0.905849	a[1]=0.013026	b[1]=0.820276
7: 1538582400	a[0]=0.003124	b[0]=0.946827	a[1]=-0.000952	b[1]=0.994038
6: 1538582400	a[0]=-0.001812	b[0]=1.001308	a[1]=0.001285	b[1]=0.971467
5: 1538496000	a[0]=0.001752	b[0]=0.955406	a[1]=0.005008	b[1]=0.925568
7: 1538668800	a[0]=-0.002620	b[0]=1.009054	a[1]=-0.004055	b[1]=1.029008
7: 1538755200	a[0]=-0.004152	b[0]=1.018269	a[1]=0.003112	b[1]=0.943344
6: 1538668800	a[0]=0.002052	b[0]=0.964893	a[1]=-0.001976	b[1]=1.010103
5: 1538582400	a[0]=0.000141	b[0]=0.985193	a[1]=0.000322	b[1]=0.985780
6: 1538755200	a[0]=0.000182	b[0]=0.979510	a[1]=0.002926	b[1]=0.952465
5: 1538668800	a[0]=-0.000501	b[0]=0.994328	a[1]=-0.001539	b[1]=1.007826
5: 1538755200	a[0]=-0.002183	b[0]=1.008855	a[1]=0.002140	b[1]=0.964832
9: 1538323200	a[0]=0.037784	b[0]=0.512592	a[1]=0.023271	b[1]=0.674835
8: 1538323200	a[0]=0.044640	b[0]=0.441732	a[1]=0.024683	b[1]=0.656291
9: 1538409600	a[0]=0.011568	b[0]=0.842983	a[1]=0.000913	b[1]=0.957606
8: 1538409600	a[0]=0.005234	b[0]=0.912938	a[1]=-0.000930	b[1]=0.978860
9: 1538496000	a[0]=0.009842	b[0]=0.857334	a[1]=0.008172	b[1]=0.882426
8: 1538496000	a[0]=0.001926	b[0]=0.941161	a[1]=0.010457	b[1]=0.855636
9: 1538582400	a[0]=0.000671	b[0]=0.976251	a[1]=0.001662	b[1]=0.967170
8: 1538582400	a[0]=0.003086	b[0]=0.952575	a[1]=-0.001984	b[1]=1.009668
9: 1538668800	a[0]=0.001896	b[0]=0.967505	a[1]=-0.004431	b[1]=1.037341
8: 1538668800	a[0]=-0.003393	b[0]=1.020227	a[1]=-0.002772	b[1]=1.017018
9: 1538755200	a[0]=-0.000538	b[0]=0.982126	a[1]=0.004353	b[1]=0.934913
8: 1538755200	a[0]=-0.004626	b[0]=1.028565	a[1]=0.003051	b[1]=0.947406
